status,priority,updated,issue_type,reporter,created,resolutiondate,vote_count,project,assignee,comment_count,key,description_length,summary_length,watch_count,resolution,days_in_current_status
Closed,Major,2010-09-08T21:07:54.525+0000,Sub-task,pwendell,2010-06-15T21:59:41.497+0000,2010-06-26T00:05:08.680+0000,0,AVRO,pwendell,15,AVRO-578,466,35,1,Fixed,2786.419089
Closed,Major,2012-09-25T21:24:32.030+0000,Sub-task,brucem,2010-05-25T08:37:42.033+0000,2012-04-28T19:44:26.620+0000,0,AVRO,brucem,3,AVRO-552,NA,25,0,Fixed,2038.407544
Closed,Blocker,2011-03-12T00:32:54.497+0000,Sub-task,owen.omalley,2010-05-18T23:12:28.636+0000,2010-12-16T00:40:55.671+0000,1,AVRO,scott_carey,12,AVRO-545,100,39,2,Duplicate,2602.276728
Closed,Major,2011-11-01T18:36:01.372+0000,Sub-task,brucem,2010-03-16T08:11:37.699+0000,2011-10-15T14:11:21.422+0000,0,AVRO,dcreager,2,AVRO-475,221,33,0,Won't Fix,2367.524566
Closed,Major,2011-11-01T18:35:56.532+0000,Sub-task,brucem,2010-03-16T08:10:16.822+0000,2011-10-15T14:08:59.080+0000,0,AVRO,dcreager,2,AVRO-474,107,22,0,Fixed,2367.524621
Closed,Major,2011-11-01T18:36:03.819+0000,Sub-task,brucem,2010-03-16T08:07:25.294+0000,2011-10-15T14:09:40.121+0000,0,AVRO,dcreager,3,AVRO-473,53,47,0,Won't Fix,2367.524537
Closed,Major,2011-11-01T18:36:09.371+0000,Sub-task,brucem,2010-03-16T08:05:50.449+0000,2011-10-15T14:12:32.080+0000,0,AVRO,dcreager,2,AVRO-472,88,33,0,Won't Fix,2367.524473
Closed,Major,2011-11-01T18:36:00.258+0000,Sub-task,brucem,2010-03-16T08:04:59.241+0000,2011-10-15T14:12:46.047+0000,0,AVRO,dcreager,2,AVRO-471,NA,28,0,Won't Fix,2367.524579
Closed,Major,2011-08-12T20:22:30.716+0000,Sub-task,brucem,2010-03-16T08:04:13.624+0000,2011-05-31T14:42:42.571+0000,0,AVRO,dcreager,2,AVRO-470,103,37,0,Fixed,2448.450613
Closed,Major,2011-08-12T20:22:30.993+0000,Sub-task,brucem,2010-03-16T08:02:27.779+0000,2011-05-31T15:01:31.517+0000,0,AVRO,dcreager,2,AVRO-469,80,55,0,Fixed,2448.450612
Closed,Major,2011-11-01T18:36:09.171+0000,Sub-task,brucem,2010-03-16T07:59:09.804+0000,2011-10-15T14:33:00.003+0000,0,AVRO,dcreager,1,AVRO-468,148,47,0,Fixed,2367.524475
Closed,Major,2010-03-22T23:19:16.460+0000,Sub-task,brucem,2010-03-02T11:06:52.997+0000,2010-03-04T02:38:45.104+0000,0,AVRO,brucem,3,AVRO-443,228,67,0,Fixed,2956.327863
Closed,Major,2010-03-22T23:19:16.407+0000,Sub-task,brucem,2010-03-02T11:02:06.235+0000,2010-03-04T03:01:29.868+0000,0,AVRO,brucem,2,AVRO-442,454,55,0,Fixed,2956.327864
Closed,Major,2010-03-01T17:09:20.442+0000,Sub-task,kevinoliver,2010-01-19T17:44:38.514+0000,2010-02-02T22:52:17.567+0000,0,AVRO,kevinoliver,7,AVRO-350,139,68,1,Fixed,2977.584762
Closed,Major,2011-03-12T00:32:47.766+0000,Sub-task,chirino,2009-10-20T20:14:09.762+0000,2010-12-16T00:41:56.939+0000,1,AVRO,scott_carey,10,AVRO-159,NA,49,5,Fixed,2602.276807
Closed,Major,2009-09-16T22:31:45.249+0000,Sub-task,gmporter,2009-07-06T17:31:40.765+0000,2009-07-31T22:56:50.636+0000,0,AVRO,gmporter,15,AVRO-76,NA,56,1,Fixed,3143.360864
Closed,Major,2009-07-14T22:50:14.611+0000,Sub-task,massie,2009-07-03T20:29:11.026+0000,2009-07-06T11:29:02.063+0000,0,AVRO,sharadag,7,AVRO-73,NA,28,1,Fixed,3207.348024
Closed,Major,2009-07-14T22:50:14.544+0000,Sub-task,massie,2009-07-03T18:05:45.430+0000,2009-07-04T16:30:27.142+0000,0,AVRO,massie,1,AVRO-70,83,46,1,Fixed,3207.348025
Closed,Major,2009-07-14T22:50:14.496+0000,Sub-task,massie,2009-07-03T05:05:12.797+0000,2009-07-04T16:27:38.039+0000,0,AVRO,massie,1,AVRO-69,201,79,1,Fixed,3207.348025
Closed,Major,2009-07-14T22:50:14.413+0000,Sub-task,gmporter,2009-06-30T19:42:39.807+0000,2009-06-30T21:46:54.244+0000,0,AVRO,gmporter,2,AVRO-67,48,48,2,Fixed,3207.348026
Closed,Major,2009-09-16T22:31:44.988+0000,Sub-task,massie,2009-06-22T22:45:43.195+0000,2009-07-14T22:59:48.071+0000,0,AVRO,massie,3,AVRO-60,NA,54,1,Fixed,3143.360867
